t=2026-05-22T00:08:10+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-22T00:08:10+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\prakhar\\AppData\\Local/ngrok/ngrok.yml
t=2026-05-22T00:08:10+0530 lvl=info msg="open config file" path=C:\\Users\\prakhar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=c0ec86d39082 l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=c6b07c6629d7 l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=d3176cf0a71a l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=72d708c4f0fd l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=ae962a067ff7 l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:12:26+0530 lvl=info msg="join connections" obj=join id=8da9058aa450 l=[::1]:8080 r=[2401:4900:9397:d8dc:8e54:359c:80be:2df]:55740
t=2026-05-22T01:13:28+0530 lvl=info msg="join connections" obj=join id=b34f1b2be85e l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:18:59+0530 lvl=info msg="join connections" obj=join id=347e7d1836f1 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:21:46+0530 lvl=info msg="join connections" obj=join id=885edecf77da l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:01+0530 lvl=info msg="join connections" obj=join id=fd293f6565f8 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:01+0530 lvl=info msg="join connections" obj=join id=a2003fff3b86 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:15+0530 lvl=info msg="join connections" obj=join id=95d35f403cda l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:15+0530 lvl=info msg="join connections" obj=join id=0895c3be7634 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:16+0530 lvl=info msg="join connections" obj=join id=04dbc251900b l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:16+0530 lvl=info msg="join connections" obj=join id=8b25966ffed1 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:21+0530 lvl=info msg="join connections" obj=join id=df7e7e6eace4 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:22:21+0530 lvl=info msg="join connections" obj=join id=84ec13508b07 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:23:46+0530 lvl=info msg="join connections" obj=join id=9139473af67a l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:23:46+0530 lvl=info msg="join connections" obj=join id=05c3a8227b86 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:23:46+0530 lvl=info msg="join connections" obj=join id=57b5ba0a80a7 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:25:01+0530 lvl=info msg="join connections" obj=join id=369d5af0aa93 l=[::1]:8080 r=80.79.7.105:49364
t=2026-05-22T01:27:02+0530 lvl=info msg="join connections" obj=join id=992bf08a4a92 l=[::1]:8080 r=80.79.7.105:49364
